#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
33,Nidorino,Poison,,308,61,72,57,55,55,65,1,False
34,Nidoking,Poison,Ground,428,81,102,77,85,75,85,1,False
35,Clefairy,Fairy,,275,70,45,48,60,65,35,1,False
36,Clefable,Fairy,,410,95,70,73,95,90,60,1,False
37,Vulpix,Fire,,259,38,41,40,50,65,65,1,False
38,Ninetales,Fire,,430,73,76,75,81,100,100,1,False
39,Jigglypuff,Normal,Fairy,250,115,45,20,45,25,20,1,False
40,Wigglytuff,Normal,Fairy,390,140,70,45,85,50,45,1,False
41,Zubat,Poison,Flying,210,40,45,35,30,40,55,1,False
42,Golbat,Poison,Flying,385,75,80,70,65,75,90,1,False
43,Oddish,Grass,Poison,265,45,50,55,75,65,30,1,False
44,Gloom,Grass,Poison,325,60,65,70,85,75,40,1,False
45,Vileplume,Grass,Poison,405,75,80,85,110,90,50,1,False
46,Paras,Bug,Grass,230,35,70,55,45,55,25,1,False
47,Parasect,Bug,Grass,325,60,95,80,60,80,30,1,False
48,Venonat,Bug,Poison,255,60,55,50,40,55,45,1,False
49,Venomoth,Bug,Poison,390,70,65,60,90,75,90,1,False
50,Diglett,Ground,,240,10,55,25,35,45,95,1,False
51,Dugtrio,Ground,,355,35,80,50,50,70,120,1,False
52,Meowth,Normal,,255,40,45,35,40,40,90,1,False
53,Persian,Normal,,380,65,70,60,65,65,115,1,False
54,Psyduck,Water,,272,50,52,48,65,50,55,1,False
55,Golduck,Water,,422,80,82,78,95,80,85,1,False
56,Mankey,Fighting,,270,40,80,35,35,45,70,1,False
57,Primeape,Fighting,,395,65,105,60,60,70,95,1,False
58,Growlithe,Fire,,305,55,70,45,70,50,60,1,False
59,Arcanine,Fire,,475,90,110,80,100,80,95,1,False
60,Poliwag,Water,,260,40,50,40,40,40,90,1,False
61,Poliwhirl,Water,,320,65,65,65,50,50,90,1,False
62,Poliwrath,Water,Fighting,415,90,95,95,70,90,70,1,False
63,Abra,Psychic,,295,25,20,15,105,55,90,1,False
64,Kadabra,Psychic,,370,40,35,30,120,70,105,1,False
65,Alakazam,Psychic,,455,55,50,45,135,95,120,1,False
65,AlakazamMega Alakazam,Psychic,,525,55,50,65,175,95,150,1,False
66,Machop,Fighting,,255,70,80,50,35,35,35,1,False
67,Machoke,Fighting,,335,80,100,70,50,60,45,1,False
68,Machamp,Fighting,,425,90,130,80,65,85,55,1,False
69,Bellsprout,Grass,Poison,265,50,75,35,70,30,40,1,False
70,Weepinbell,Grass,Poison,340,65,90,50,85,45,55,1,False
71,Victreebel,Grass,Poison,425,80,105,65,100,70,70,1,False
72,Tentacool,Water,Poison,300,40,40,35,50,100,70,1,False
73,Tentacruel,Water,Poison,450,80,70,65,80,120,100,1,False
74,Geodude,Rock,Ground,200,40,80,100,30,30,20,1,False
75,Graveler,Rock,Ground,275,55,95,115,45,45,35,1,False
76,Golem,Rock,Ground,365,80,120,130,55,65,45,1,False
77,Ponyta,Fire,,355,50,85,55,65,65,90,1,False
78,Rapidash,Fire,,430,65,100,70,80,80,105,1,False
79,Slowpoke,Water,Psychic,250,90,65,65,40,40,15,1,False
80,Slowbro,Water,Psychic,380,95,75,110,100,80,30,1,False
80,SlowbroMega Slowbro,Water,Psychic,410,95,75,180,130,80,30,1,False
81,Magnemite,Electric,Steel,255,25,35,70,95,55,45,1,False
82,Magneton,Electric,Steel,370,50,60,95,120,70,70,1,False
83,Farfetch'd,Normal,Flying,297,52,65,55,58,62,60,1,False
84,Doduo,Normal,Flying,265,35,85,45,35,35,75,1,False
85,Dodrio,Normal,Flying,390,60,110,70,60,60,100,1,False
86,Seel,Water,,270,65,45,55,45,70,45,1,False
87,Dewgong,Water,Ice,395,90,70,80,70,95,70,1,False
88,Grimer,Poison,,275,80,80,50,40,50,25,1,False
89,Muk,Poison,,425,105,105,75,65,100,50,1,False
90,Shellder,Water,,205,30,65,100,45,25,40,1,False
91,Cloyster,Water,Ice,345,50,95,180,85,45,70,1,False
92,Gastly,Ghost,Poison,280,30,35,30,100,35,80,1,False
93,Haunter,Ghost,Poison,360,45,50,45,115,55,95,1,False
94,Gengar,Ghost,Poison,440,60,65,60,130,75,110,1,False
94,GengarMega Gengar,Ghost,Poison,520,60,65,80,170,95,130,1,False
95,Onix,Rock,Ground,225,35,45,160,30,45,70,1,False
96,Drowzee,Psychic,,283,60,48,45,43,90,42,1,False
97,Hypno,Psychic,,413,85,73,70,73,115,67,1,False
98,Krabby,Water,,235,30,105,90,25,25,50,1,False
99,Kingler,Water,,360,55,130,115,50,50,75,1,False
100,Voltorb,Electric,,280,40,30,50,55,55,100,1,False
101,Electrode,Electric,,410,60,50,70,80,80,140,1,False
102,Exeggcute,Grass,Psychic,245,60,40,80,60,45,40,1,False
103,Exeggutor,Grass,Psychic,435,95,95,85,125,65,55,1,False
104,Cubone,Ground,,225,50,50,95,40,50,35,1,False
105,Marowak,Ground,,315,60,80,110,50,80,45,1,False
106,Hitmonlee,Fighting,,402,50,120,53,35,110,87,1,False
107,Hitmonchan,Fighting,,376,50,105,79,35,110,76,1,False
108,Lickitung,Normal,,310,90,55,75,60,75,30,1,False
109,Koffing,Poison,,245,40,65,95,60,45,35,1,False
110,Weezing,Poison,,370,65,90,120,85,70,60,1,False
111,Rhyhorn,Ground,Rock,250,80,85,95,30,30,25,1,False
112,Rhydon,Ground,Rock,365,105,130,120,45,45,40,1,False
113,Chansey,Normal,,445,250,5,5,35,105,50,1,False
114,Tangela,Grass,,320,65,55,115,100,40,60,1,False
115,Kangaskhan,Normal,,410,105,95,80,40,80,90,1,False
115,KangaskhanMega Kangaskhan,Normal,,490,105,125,100,60,100,100,1,False
116,Horsea,Water,,225,30,40,70,70,25,60,1,False
117,Seadra,Water,,345,55,65,95,95,45,85,1,False
118,Goldeen,Water,,260,45,67,60,35,50,63,1,False
119,Seaking,Water,,385,80,92,65,65,80,68,1,False
120,Staryu,Water,,285,30,45,55,70,55,85,1,False
121,Starmie,Water,Psychic,435,60,75,85,100,85,115,1,False
122,Mr. Mime,Psychic,Fairy,395,40,45,65,100,120,90,1,False
123,Scyther,Bug,Flying,420,70,110,80,55,80,105,1,False
124,Jynx,Ice,Psychic,420,65,50,35,115,95,95,1,False
125,Electabuzz,Electric,,433,65,83,57,95,85,105,1,False
126,Magmar,Fire,,438,65,95,57,100,85,93,1,False
127,Pinsir,Bug,,400,65,125,100,55,70,85,1,False
127,PinsirMega Pinsir,Bug,Flying,480,65,155,120,65,90,105,1,False
128,Tauros,Normal,,395,75,100,95,40,70,110,1,False
129,Magikarp,Water,,145,20,10,55,15,20,80,1,False
130,Gyarados,Water,Flying,461,95,125,79,60,100,81,1,False
130,GyaradosMega Gyarados,Water,Dark,531,95,155,109,70,130,81,1,False
131,Lapras,Water,Ice,455,130,85,80,85,95,60,1,False
132,Ditto,Normal,,240,48,48,48,48,48,48,1,False
133,Eevee,Normal,,275,55,55,50,45,65,55,1,False
134,Vaporeon,Water,,465,130,65,60,110,95,65,1,False
135,Jolteon,Electric,,465,65,65,60,110,95,130,1,False
136,Flareon,Fire,,465,65,130,60,95,110,65,1,False
137,Porygon,Normal,,325,65,60,70,85,75,40,1,False
138,Omanyte,Rock,Water,255,35,40,100,90,55,35,1,False
139,Omastar,Rock,Water,370,70,60,125,115,70,55,1,False
140,Kabuto,Rock,Water,265,30,80,90,55,45,55,1,False
141,Kabutops,Rock,Water,390,60,115,105,65,70,80,1,False
142,Aerodactyl,Rock,Flying,450,80,105,65,60,75,130,1,False
142,AerodactylMega Aerodactyl,Rock,Flying,530,80,135,85,70,95,150,1,False
143,Snorlax,Normal,,475,160,110,65,65,110,30,1,False
144,Articuno,Ice,Flying,480,90,85,100,95,125,85,1,True
145,Zapdos,Electric,Flying,495,90,90,85,125,90,100,1,True
146,Moltres,Fire,Flying,490,90,100,90,125,85,90,1,True
147,Dratini,Dragon,,255,41,64,45,50,50,50,1,False
148,Dragonair,Dragon,,355,61,84,65,70,70,70,1,False
149,Dragonite,Dragon,Flying,505,91,134,95,100,100,80,1,False
150,Mewtwo,Psychic,,590,106,110,90,154,90,130,1,True
150,MewtwoMega Mewtwo X,Psychic,Fighting,680,106,190,100,154,100,130,1,True
150,MewtwoMega Mewtwo Y,Psychic,,710,106,150,70,194,120,140,1,True
151,Mew,Psychic,,500,100,100,100,100,100,100,1,False
152,Chikorita,Grass,,253,45,49,65,49,65,45,2,False
153,Bayleef,Grass,,325,60,62,80,63,80,60,2,False
154,Meganium,Grass,,425,80,82,100,83,100,80,2,False
155,Cyndaquil,Fire,,266,39,52,43,60,50,65,2,False
156,Quilava,Fire,,347,58,64,58,80,65,80,2,False
157,Typhlosion,Fire,,456,78,84,78,109,85,100,2,False
158,Totodile,Water,,250,50,65,64,44,48,43,2,False
159,Croconaw,Water,,325,65,80,80,59,63,58,2,False
160,Feraligatr,Water,,430,85,105,100,79,83,78,2,False
161,Sentret,Normal,,181,35,46,34,35,45,20,2,False
162,Furret,Normal,,351,85,76,64,45,55,90,2,False
163,Hoothoot,Normal,Flying,232,60,30,30,36,56,50,2,False
164,Noctowl,Normal,Flying,392,100,50,50,76,96,70,2,False
165,Ledyba,Bug,Flying,235,40,20,30,40,80,55,2,False
166,Ledian,Bug,Flying,340,55,35,50,55,110,85,2,False
167,Spinarak,Bug,Poison,210,40,60,40,40,40,30,2,False
168,Ariados,Bug,Poison,320,70,90,70,60,60,40,2,False
169,Crobat,Poison,Flying,455,85,90,80,70,80,130,2,False
170,Chinchou,Water,Electric,292,75,38,38,56,56,67,2,False
171,Lanturn,Water,Electric,402,125,58,58,76,76,67,2,False
172,Pichu,Electric,,190,20,40,15,35,35,60,2,False
173,Cleffa,Fairy,,190,50,25,28,45,55,15,2,False
174,Igglybuff,Normal,Fairy,195,90,30,15,40,20,15,2,False
175,Togepi,Fairy,,180,35,20,65,40,65,20,2,False
176,Togetic,Fairy,Flying,320,55,40,85,80,105,40,2,False
177,Natu,Psychic,Flying,275,40,50,45,70,45,70,2,False
178,Xatu,Psychic,Flying,400,65,75,70,95,70,95,2,False
179,Mareep,Electric,,240,55,40,40,65,45,35,2,False
180,Flaaffy,Electric,,310,70,55,55,80,60,45,2,False
181,Ampharos,Electric,,425,90,75,85,115,90,55,2,False
181,AmpharosMega Ampharos,Electric,Dragon,505,90,95,105,165,110,45,2,False
182,Bellossom,Grass,,395,75,80,95,90,100,50,2,False
183,Marill,Water,Fairy,200,70,20,50,20,50,40,2,False
184,Azumarill,Water,Fairy,340,100,50,80,60,80,50,2,False
185,Sudowoodo,Rock,,295,70,100,115,30,65,30,2,False
186,Politoed,Water,,425,90,75,75,90,100,70,2,False
187,Hoppip,Grass,Flying,210,35,35,40,35,55,50,2,False
188,Skiploom,Grass,Flying,290,55,45,50,45,65,80,2,False
189,Jumpluff,Grass,Flying,390,75,55,70,55,95,110,2,False
190,Aipom,Normal,,305,55,70,55,40,55,85,2,False
191,Sunkern,Grass,,150,30,30,30,30,30,30,2,False
192,Sunflora,Grass,,370,75,75,55,105,85,30,2,False
193,Yanma,Bug,Flying,345,65,65,45,75,45,95,2,False
194,Wooper,Water,Ground,165,55,45,45,25,25,15,2,False
195,Quagsire,Water,Ground,345,95,85,85,65,65,35,2,False
196,Espeon,Psychic,,465,65,65,60,130,95,110,2,False
197,Umbreon,Dark,,415,95,65,110,60,130,65,2,False
198,Murkrow,Dark,Flying,363,60,85,42,85,42,91,2,False
199,Slowking,Water,Psychic,410,95,75,80,100,110,30,2,False
200,Misdreavus,Ghost,,375,60,60,60,85,85,85,2,False
201,Unown,Psychic,,288,48,72,48,72,48,48,2,False
202,Wobbuffet,Psychic,,347,190,33,58,33,58,33,2,False
203,Girafarig,Normal,Psychic,390,70,80,65,90,65,85,2,False
204,Pineco,Bug,,200,50,65,90,35,35,15,2,False
205,Forretress,Bug,Steel,325,75,90,140,60,60,40,2,False
206,Dunsparce,Normal,,345,100,70,70,65,65,45,2,False
207,Gligar,Ground,Flying,325,65,75,105,35,65,85,2,False
208,Steelix,Steel,Ground,310,75,85,200,55,65,30,2,False
208,SteelixMega Steelix,Steel,Ground,380,75,125,230,55,95,30,2,False
209,Snubbull,Fairy,,250,60,80,50,40,40,30,2,False
210,Granbull,Fairy,,375,90,120,75,60,60,45,2,False
211,Qwilfish,Water,Poison,355,65,95,75,55,55,85,2,False
212,Scizor,Bug,Steel,400,70,130,100,55,80,65,2,False
212,ScizorMega Scizor,Bug,Steel,460,70,150,140,65,100,75,2,False
213,Shuckle,Bug,Rock,275,20,10,230,10,230,5,2,False
214,Heracross,Bug,Fighting,425,80,125,75,40,95,85,2,False
214,HeracrossMega Heracross,Bug,Fighting,485,80,185,115,40,105,75,2,False
215,Sneasel,Dark,Ice,375,55,95,55,35,75,115,2,False
216,Teddiursa,Normal,,280,60,80,50,50,50,40,2,False
217,Ursaring,Normal,,425,90,130,75,75,75,55,2,False
218,Slugma,Fire,,210,40,40,40,70,40,20,2,False
219,Magcargo,Fire,Rock,290,50,50,120,80,80,30,2,False
220,Swinub,Ice,Ground,210,50,50,40,30,30,50,2,False
221,Piloswine,Ice,Ground,370,100,100,80,60,60,50,2,False
222,Corsola,Water,Rock,295,55,55,85,65,85,35,2,False
223,Remoraid,Water,,265,35,65,35,65,35,65,2,False
224,Octillery,Water,,405,75,105,75,105,75,45,2,False
225,Delibird,Ice,Flying,285,45,55,45,65,45,75,2,False
226,Mantine,Water,Flying,395,65,40,70,80,140,70,2,False
227,Skarmory,Steel,Flying,325,65,80,140,40,70,70,2,False
228,Houndour,Dark,Fire,300,45,60,30,80,50,65,2,False
229,Houndoom,Dark,Fire,450,75,90,50,110,80,95,2,False
229,HoundoomMega Houndoom,Dark,Fire,510,75,90,90,140,90,115,2,False
230,Kingdra,Water,Dragon,445,75,95,95,95,95,85,2,False
231,Phanpy,Ground,,270,90,60,60,40,40,40,2,False
232,Donphan,Ground,,380,90,120,120,60,60,50,2,False
233,Porygon2,Normal,,425,85,80,90,105,95,60,2,False
234,Stantler,Normal,,403,73,95,62,85,65,85,2,False
235,Smeargle,Normal,,215,55,20,35,20,45,75,2,False
236,Tyrogue,Fighting,,175,35,35,35,35,35,35,2,False
237,Hitmontop,Fighting,,360,50,95,95,35,110,70,2,False
238,Smoochum,Ice,Psychic,290,45,30,15,85,65,65,2,False
239,Elekid,Electric,,323,45,63,37,65,55,95,2,False
240,Magby,Fire,,328,45,75,37,70,55,83,2,False
241,Miltank,Normal,,385,95,80,105,40,70,100,2,False
242,Blissey,Normal,,530,255,10,10,75,135,55,2,False
243,Raikou,Electric,,505,90,85,75,115,100,115,2,True
244,Entei,Fire,,495,115,115,85,90,75,100,2,True
245,Suicune,Water,,465,100,75,115,90,115,85,2,True
246,Larvitar,Rock,Ground,250,50,64,50,45,50,41,2,False
247,Pupitar,Rock,Ground,340,70,84,70,65,70,51,2,False
248,Tyranitar,Rock,Dark,490,100,134,110,95,100,61,2,False
248,TyranitarMega Tyranitar,Rock,Dark,550,100,164,150,95,120,71,2,False
249,Lugia,Psychic,Flying,550,106,90,130,90,154,110,2,True
250,Ho-oh,Fire,Flying,590,106,130,90,110,154,90,2,True
251,Celebi,Psychic,Grass,500,100,100,100,100,100,100,2,False
252,Treecko,Grass,,275,40,45,35,65,55,70,3,False
253,Grovyle,Grass,,360,50,65,45,85,65,95,3,False
254,Sceptile,Grass,,465,70,85,65,105,85,120,3,False
254,SceptileMega Sceptile,Grass,Dragon,555,70,110,75,145,85,145,3,False
255,Torchic,Fire,,270,45,60,40,70,50,45,3,False
256,Combusken,Fire,Fighting,345,60,85,60,85,60,55,3,False
257,Blaziken,Fire,Fighting,460,80,120,70,110,70,80,3,False
257,BlazikenMega Blaziken,Fire,Fighting,550,80,160,80,130,80,100,3,False
258,Mudkip,Water,,260,50,70,50,50,50,40,3,False
259,Marshtomp,Water,Ground,335,70,85,70,60,70,50,3,False
260,Swampert,Water,Ground,445,100,110,90,85,90,60,3,False
260,SwampertMega Swampert,Water,Ground,525,100,150,110,95,110,70,3,False
261,Poochyena,Dark,,185,35,55,35,30,30,35,3,False
262,Mightyena,Dark,,350,70,90,70,60,60,70,3,False
263,Zigzagoon,Normal,,199,38,30,41,30,41,60,3,False
264,Linoone,Normal,,359,78,70,61,50,61,100,3,False
265,Wurmple,Bug,,160,45,45,35,20,30,20,3,False
266,Silcoon,Bug,,150,50,35,55,25,25,15,3,False
267,Beautifly,Bug,Flying,345,60,70,50,100,50,65,3,False
268,Cascoon,Bug,,150,50,35,55,25,25,15,3,False
269,Dustox,Bug,Poison,315,60,50,70,50,90,65,3,False
270,Lotad,Water,Grass,190,40,30,30,40,50,30,3,False
271,Lombre,Water,Grass,290,60,50,50,60,70,50,3,False
272,Ludicolo,Water,Grass,410,80,70,70,90,100,70,3,False
273,Seedot,Grass,,170,40,40,50,30,30,30,3,False
274,Nuzleaf,Grass,Dark,300,70,70,40,60,40,60,3,False
275,Shiftry,Grass,Dark,420,90,100,60,90,60,80,3,False
276,Taillow,Normal,Flying,240,40,55,30,30,30,85,3,False
277,Swellow,Normal,Flying,370,60,85,60,50,50,125,3,False
278,Wingull,Water,Flying,240,40,30,30,55,30,85,3,False
279,Pelipper,Water,Flying,330,60,50,100,85,70,65,3,False
280,Ralts,Psychic,Fairy,173,28,25,25,45,35,40,3,False
281,Kirlia,Psychic,Fairy,243,38,35,35,65,55,50,3,False
282,Gardevoir,Psychic,Fairy,453,68,65,65,125,115,80,3,False
282,GardevoirMega Gardevoir,Psychic,Fairy,553,68,85,65,165,135,100,3,False
283,Surskit,Bug,Water,237,40,30,32,50,52,65,3,False
284,Masquerain,Bug,Flying,352,70,60,62,80,82,60,3,False
285,Shroomish,Grass,,235,60,40,60,40,60,35,3,False
286,Breloom,Grass,Fighting,380,60,130,80,60,60,70,3,False
287,Slakoth,Normal,,220,60,60,60,35,35,30,3,False
288,Vigoroth,Normal,,360,80,80,80,55,55,90,3,False
289,Slaking,Normal,,570,150,160,100,95,65,100,3,False
290,Nincada,Bug,Ground,176,31,45,90,30,30,40,3,False
291,Ninjask,Bug,Flying,411,61,90,45,50,50,160,3,False
292,Shedinja,Bug,Ghost,191,1,90,45,30,30,40,3,False
293,Whismur,Normal,,217,64,51,23,51,23,28,3,False
294,Loudred,Normal,,317,84,71,43,71,43,48,3,False
295,Exploud,Normal,,427,104,91,63,91,73,68,3,False
296,Makuhita,Fighting,,207,72,60,30,20,30,25,3,False
297,Hariyama,Fighting,,414,144,120,60,40,60,50,3,False
298,Azurill,Normal,Fairy,150,50,20,40,20,40,20,3,False
299,Nosepass,Rock,,240,30,45,135,45,90,30,3,False
300,Skitty,Normal,,215,50,45,45,35,35,50,3,False
301,Delcatty,Normal,,315,70,65,65,55,55,70,3,False
302,Sableye,Dark,Ghost,305,50,75,75,65,65,50,3,False
302,SableyeMega Sableye,Dark,Ghost,355,50,85,125,85,115,20,3,False
303,Mawile,Steel,Fairy,295,50,85,85,55,55,50,3,False
303,MawileMega Mawile,Steel,Fairy,355,50,105,125,55,95,50,3,False
304,Aron,Steel,Rock,230,50,70,100,40,40,30,3,False
305,Lairon,Steel,Rock,290,60,90,140,50,50,40,3,False
306,Aggron,Steel,Rock,350,70,110,180,60,60,50,3,False
306,AggronMega Aggron,Steel,,400,70,140,230,60,80,50,3,False
307,Meditite,Fighting,Psychic,225,30,40,55,40,55,60,3,False
308,Medicham,Fighting,Psychic,335,60,60,75,60,75,80,3,False
308,MedichamMega Medicham,Fighting,Psychic,425,60,100,85,80,85,100,3,False
309,Electrike,Electric,,255,40,45,40,65,40,65,3,False
310,Manectric,Electric,,415,70,75,60,105,60,105,3,False
310,ManectricMega Manectric,Electric,,495,70,75,80,135,80,135,3,False
311,Plusle,Electric,,365,60,50,40,85,75,95,3,False
312,Minun,Electric,,355,60,40,50,75,85,95,3,False
313,Volbeat,Bug,,345,65,73,55,47,75,85,3,False
314,Illumise,Bug,,345,65,47,55,73,75,85,3,False
315,Roselia,Grass,Poison,355,50,60,45,100,80,65,3,False
316,Gulpin,Poison,,249,70,43,53,43,53,40,3,False
317,Swalot,Poison,,384,100,73,83,73,83,55,3,False
318,Carvanha,Water,Dark,285,45,90,20,65,20,65,3,False
319,Sharpedo,Water,Dark,420,70,120,40,95,40,95,3,False
319,SharpedoMega Sharpedo,Water,Dark,490,70,140,70,110,65,105,3,False
320,Wailmer,Water,,365,130,70,35,70,35,60,3,False
321,Wailord,Water,,455,170,90,45,90,45,60,3,False
322,Numel,Fire,Ground,265,60,60,40,65,45,35,3,False
323,Camerupt,Fire,Ground,390,70,100,70,105,75,40,3,False
323,CameruptMega Camerupt,Fire,Ground,460,70,120,100,145,105,20,3,False
324,Torkoal,Fire,,330,70,85,140,85,70,20,3,False
325,Spoink,Psychic,,295,60,25,35,70,80,60,3,False
326,Grumpig,Psychic,,405,80,45,65,90,110,80,3,False
327,Spinda,Normal,,300,60,60,60,60,60,60,3,False
328,Trapinch,Ground,,245,45,100,45,45,45,10,3,False
329,Vibrava,Ground,Dragon,290,50,70,50,50,50,70,3,False
330,Flygon,Ground,Dragon,440,80,100,80,80,80,100,3,False
331,Cacnea,Grass,,295,50,85,40,85,40,35,3,False
332,Cacturne,Grass,Dark,415,70,115,60,115,60,55,3,False
333,Swablu,Normal,Flying,250,45,40,60,40,75,50,3,False
334,Altaria,Dragon,Flying,400,75,70,90,70,105,80,3,False
334,AltariaMega Altaria,Dragon,Fairy,480,75,110,110,110,105,80,3,False
335,Zangoose,Normal,,398,73,115,60,60,60,90,3,False
336,Seviper,Poison,,398,73,100,60,100,60,65,3,False
337,Lunatone,Rock,Psychic,375,70,55,65,95,85,70,3,False
338,Solrock,Rock,Psychic,355,70,95,85,55,65,70,3,False
339,Barboach,Water,Ground,245,50,48,43,46,41,60,3,False
340,Whiscash,Water,Ground,395,110,78,73,76,71,60,3,False
341,Corphish,Water,,243,43,80,65,50,35,35,3,False
342,Crawdaunt,Water,Dark,383,63,120,85,90,55,55,3,False
343,Baltoy,Ground,Psychic,245,40,40,55,40,70,55,3,False
344,Claydol,Ground,Psychic,395,60,70,105,70,120,75,3,False
345,Lileep,Rock,Grass,278,66,41,77,61,87,23,3,False
346,Cradily,Rock,Grass,398,86,81,97,81,107,43,3,False
347,Anorith,Rock,Bug,305,45,95,50,40,50,75,3,False
348,Armaldo,Rock,Bug,395,75,125,100,70,80,45,3,False
349,Feebas,Water,,180,20,15,20,10,55,80,3,False
350,Milotic,Water,,461,95,60,79,100,125,81,3,False
351,Castform,Normal,,350,70,70,70,70,70,70,3,False
352,Kecleon,Normal,,370,60,90,70,60,120,40,3,False
353,Shuppet,Ghost,,260,44,75,35,63,33,45,3,False
354,Banette,Ghost,,390,64,115,65,83,63,65,3,False
354,BanetteMega Banette,Ghost,,480,64,165,75,93,83,75,3,False
355,Duskull,Ghost,,205,20,40,90,30,90,25,3,False
356,Dusclops,Ghost,,325,40,70,130,60,130,25,3,False
357,Tropius,Grass,Flying,377,99,68,83,72,87,51,3,False
358,Chimecho,Psychic,,355,65,50,70,95,80,65,3,False
359,Absol,Dark,,405,65,130,60,75,60,75,3,False
359,AbsolMega Absol,Dark,,505,65,150,60,115,60,115,3,False
360,Wynaut,Psychic,,212,95,23,48,23,48,23,3,False
361,Snorunt,Ice,,250,50,50,50,50,50,50,3,False
362,Glalie,Ice,,400,80,80,80,80,80,80,3,False
362,GlalieMega Glalie,Ice,,500,80,120,80,120,80,100,3,False
363,Spheal,Ice,Water,240,70,40,50,55,50,25,3,False
364,Sealeo,Ice,Water,340,90,60,70,75,70,45,3,False
365,Walrein,Ice,Water,440,110,80,90,95,90,65,3,False
366,Clamperl,Water,,260,35,64,85,74,55,32,3,False
367,Huntail,Water,,380,55,104,105,94,75,52,3,False
368,Gorebyss,Water,,380,55,84,105,114,75,52,3,False
369,Relicanth,Water,Rock,355,100,90,130,45,65,55,3,False
370,Luvdisc,Water,,275,43,30,55,40,65,97,3,False
371,Bagon,Dragon,,240,45,75,60,40,30,50,3,False
372,Shelgon,Dragon,,320,65,95,100,60,50,50,3,False
373,Salamence,Dragon,Flying,520,95,135,80,110,80,100,3,False
373,SalamenceMega Salamence,Dragon,Flying,570,95,145,130,120,90,120,3,False
374,Beldum,Steel,Psychic,220,40,55,80,35,60,30,3,False
375,Metang,Steel,Psychic,320,60,75,100,55,80,50,3,False
376,Metagross,Steel,Psychic,470,80,135,130,95,90,70,3,False
376,MetagrossMega Metagross,Steel,Psychic,550,80,145,150,105,110,110,3,False
377,Regirock,Rock,,380,80,100,200,50,100,50,3,True
378,Regice,Ice,,480,80,50,100,100,200,50,3,True
379,Registeel,Steel,,430,80,75,150,75,150,50,3,True
380,Latias,Dragon,Psychic,510,80,80,90,110,130,110,3,True
380,LatiasMega Latias,Dragon,Psychic,580,80,100,120,140,150,110,3,True
381,Latios,Dragon,Psychic,520,80,90,80,130,110,110,3,True
381,LatiosMega Latios,Dragon,Psychic,600,80,130,100,160,120,110,3,True
382,Kyogre,Water,,580,100,100,90,150,140,90,3,True
